PREDICTED,SCORE,DOCUMENT_ID,SENTENCE
10.0,10.0,34137006,good
10.0,10.0,34137007,best egg is very easy to deal with
10.0,10.0,34137011,easy application process and quick response
10.0,10.0,34137012,ease of obtaining money to consolidate
10.0,10.0,34137013,the ease and courtesy in which the loan was handled
10.0,8.0,34137014,fast and easy service
10.0,10.0,34137019,very helpful and took only  days to receive funds after quick phone call
10.0,10.0,34137038,process is very straight forward and easy
10.0,10.0,34137039,it was quick and easy  but then i had most everything required to apply
10.0,7.0,34137041,fast and courteous
10.0,10.0,34137056,very easy process and money was in my bank the very next day
10.0,10.0,34137059,how ez the whole process was
10.0,10.0,34137060,the honesty along with the speed showed true professional team work
10.0,10.0,34137079,uploading documents and such easier than i thought it would be
10.0,10.0,34137081,easy and up front
8.0,8.0,34137087,deceptive rate advertising but overall smooth process and quick deposit of loan funds
10.0,10.0,34137095,proceeds
10.0,10.0,34137098,easy and efficient process
10.0,10.0,34137102,the process was very fast and easy
10.0,10.0,34137103,i only have  years to be debt free very happy helping me quickly get my loan to get out of debt
10.0,10.0,34137125,no hassle
8.0,5.0,34137127,fees are excessive
10.0,9.0,34137143,ease of process
10.0,10.0,34137147,prompt attention
10.0,10.0,34137150,quick  easy
10.0,8.0,34137169,quick and easy
10.0,8.0,34137172,easy to do
10.0,8.0,34137173,easy to setup
8.0,7.0,34137188,no info on spirit miles which were promised
10.0,10.0,34137189,it was a quick easy painless process
8.0,3.0,34137192,fees
10.0,10.0,34137195,past positive experience with best egg
10.0,10.0,34137196,d thanks a million that loan provided me with financial support that i needed at this time best egg offered to me an opportunity to get loan bridge in a shortest time ever best egg is by far most efficient and well organized company that i worked before
8.0,8.0,34137213,still have received a full disclosure of all the fee with this loan
10.0,10.0,34137217,the process is fast and professional customer service is excellent
10.0,7.0,34137239,i do not understand the question
10.0,10.0,34137240,quickness
10.0,10.0,34137241,the quality of service i get
10.0,10.0,34137259,because it was so quick and easy
10.0,9.0,34137261,it was friendly and fast
10.0,10.0,34137262,friendly customer service and ease of loan
10.0,10.0,34137275,ease convenience and quick response to request
10.0,10.0,34137286,fast and easy
10.0,10.0,34137320,it was an easy process
10.0,10.0,34137322,super easy and very fast process
10.0,10.0,34137326,ease of application
10.0,9.0,34137329,best service i got my money right away
10.0,10.0,34137330,speed
10.0,9.0,34137331,fast and easy
10.0,10.0,34137332,fast easy start forward
10.0,10.0,34137333,fast money  no hassle
10.0,10.0,34137351,the service was qick and easy
10.0,9.0,34137371,really easy process and it was quick to get my money
10.0,8.0,34137374,fast process and easy
10.0,10.0,34137391,customer service
10.0,10.0,34137412,completely stress free how amazingly proficient professional my experience was with be representatives and user friendly the online application process from beginning to end of loan application process
10.0,10.0,34137414,fast fund transfer and good rates
10.0,10.0,34137415,the ease of it all
10.0,10.0,34137417,stability
10.0,10.0,34137418,paying on time
10.0,10.0,34137419,quick efficient and reasonable
10.0,9.0,34137420,bills
10.0,10.0,34137431,the process was very quick and easy the funds were deposited into my bank in  day customer service was great
10.0,10.0,34137434,great customer service smooth transaction
10.0,10.0,34137436,the experience was pretty positive besides the large fee that was deducted from loan amount quick process  on the road to managing my finances responsibly  intelligentlythank you
10.0,10.0,34137437,it was easy to do and get a response
10.0,10.0,34137438,great service and no surprises
10.0,8.0,34137440,great customer service and quick results
10.0,10.0,34137446,wonderful customer service
10.0,8.0,34137458,ease and quickness
10.0,10.0,34137462,easy loan application process
10.0,10.0,34137463,it was so easy and quick
10.0,10.0,34137464,fast
10.0,10.0,34137473,ef best egg was quick
8.0,8.0,34137499,the origination fees which raise the interest rate
10.0,10.0,34137503,low rate
10.0,10.0,34137504,quick and easy
10.0,10.0,34137505,it did not take long to get the loan
10.0,10.0,34137507,curtisoy an prompt service
10.0,8.0,34137508,quick and fast action approval and funding
10.0,10.0,34137522,ease of service
10.0,10.0,34137525,security trustworthy timely
10.0,10.0,34137526,this was an uncomplicated process
10.0,10.0,34137527,quickness
8.0,8.0,34137528,it was very quick and easy i am not sure i was kept informed enough on the status on my loan
10.0,9.0,34137538,easy to use meaning i did not have to jump through hoops to get funded this was quicker than the last new car i bought
10.0,10.0,34137544,it was easy and painless to apply
10.0,10.0,34137571,easy to apply
10.0,10.0,34137588,because of the prompt way my loan was handled
10.0,10.0,34137589,well best egg has always helped me out when i needed it most and i am really appreciative for that and also have giving me the best rate that i could get thank you best egg
10.0,10.0,34137592,very easy process
10.0,10.0,34137612,fair rates and quick response to loan application
10.0,10.0,34137613,ease of application approval and funding
10.0,10.0,34137615,fast and easy to apply
10.0,9.0,34137616,the process not rushed very good experience courteous service through the whole process thank you my questions were answered politely
10.0,10.0,34137624,no complaints we had excellent customer service
10.0,10.0,34137634,immediate online actionactivation
10.0,9.0,34137636,it was easy 
10.0,10.0,34137652,convenience quick response
10.0,10.0,34137655,easy fast process
10.0,10.0,34137669,warm helpful efficient professional service
10.0,10.0,34137675,ease of application process timeliness of ptocessibg
8.0,1.0,34137676,poor service and lack of knowledge on part of everyone
10.0,8.0,34137677,excellent customer service
10.0,10.0,34137678,very simple process
10.0,10.0,34137680,transparency and quickness of deposit
10.0,10.0,34137695,that i got the loan
10.0,10.0,34137696,to pay off bills
10.0,10.0,34137698,ease of obtaining loan although i wish i could have consolidated all of my bills in one loan
10.0,10.0,34137699,it was quick and fast
10.0,10.0,34137701,at this point i am extremely happy very quick with the decision funds were in my bank in  days
10.0,10.0,34137721,i put my information in easy  to navigate website company actually keep me informed stayed informed every step of the way and money was in my account in less than  business days
10.0,10.0,34137722,quick and friendly service
10.0,9.0,34137723,prompthonest service
